San Sebastián de los Reyes,40.5473698,-3.6260586
Sant Just Desvern,41.3815832,2.0750677
Santa Cruz de Tenerife,28.4597823,-16.2536378
Santander,43.4623102,-3.8101067
Santiago,-33.4377968,-70.6504451
Santiago de Compostela,42.8804219,-8.5458608
Segovia,40.9502159,-4.1241494
Sevilla,37.3886303,-5.9953171
Silleda,42.697981,-8.2466373
Soria,41.7633842,-2.4642041
Soto del Real,40.7534432,-3.7866573
Sueca,39.2025604,-0.3111645
TORRELAVEGA,43.3479693,-4.0514448
Tarragona,41.1172364,1.2546057
Tenerife,28.2935785,-16.621840296596
Terrassa,41.5697302,2.0132071
Toledo,41.6786754,-83.5127283
Torrelodones,40.5781429,-3.9262829
Torrent,41.9515047,3.1267566
Tortosa,40.8111899,0.5207492
Valencia,39.6819591,-0.7654406
Valladolid,41.7030484,-4.69695077903513
Veguellina de Órbigo León,42.4367662,-5.8851414
Vigo,42.2376602,-8.7247205
Villanueva del Arzobispo,38.168886,-3.007771
Vinaròs,40.4703992,0.4746076
Vitoria,42.8463449,-2.6725146
Zamora,41.5056574,-5.7448039
Zaragoza,41.6521342,-0.8809428
Ávila,40.62327675,-4.83542008567154
